"epoch: 65, PSNR: 19.895270840505535, SSIM: 0.756653978583518, LPIPS: 0.18465128176835147, UCIQE: 0.42162448167800903, UIQM: 3.729738712310791, best PSNR: 19.895270840505535, best epoch: 65"
"epoch: 66, PSNR: 19.80451598863923, SSIM: 0.7579888701438904, LPIPS: 0.18147038484222433, UCIQE: 0.4044382870197296, UIQM: 3.7276604175567627, best PSNR: 19.895270840505535, best epoch: 65"
"epoch: 67, PSNR: 19.925341959749716, SSIM: 0.760692688856232, LPIPS: 0.1768033311105846, UCIQE: 0.42073774337768555, UIQM: 3.736574411392212, best PSNR: 19.925341959749716, best epoch: 67"
"epoch: 68, PSNR: 19.638738867941868, SSIM: 0.7595286972067329, LPIPS: 0.18393509701061783, UCIQE: 0.4039020240306854, UIQM: 3.723275661468506, best PSNR: 19.925341959749716, best epoch: 67"
"epoch: 69, PSNR: 19.642566755916295, SSIM: 0.7626421813214763, LPIPS: 0.20420739389537426, UCIQE: 0.408250629901886, UIQM: 3.7024905681610107, best PSNR: 19.925341959749716, best epoch: 67"
"epoch: 70, PSNR: 19.919257346163974, SSIM: 0.7645368984576022, LPIPS: 0.17730476506305545, UCIQE: 0.4066568613052368, UIQM: 3.7181878089904785, best PSNR: 19.925341959749716, best epoch: 67"
"epoch: 71, PSNR: 19.85777217350649, SSIM: 0.7649391668566158, LPIPS: 0.1786057898000385, UCIQE: 0.4157983064651489, UIQM: 3.7288246154785156, best PSNR: 19.925341959749716, best epoch: 67"
"epoch: 72, PSNR: 20.12641112724047, SSIM: 0.7710214364394713, LPIPS: 0.17534120364135572, UCIQE: 0.4307689964771271, UIQM: 3.736992120742798, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 73, PSNR: 19.955162712697234, SSIM: 0.7669549919246288, LPIPS: 0.17622318671325618, UCIQE: 0.40032264590263367, UIQM: 3.7188751697540283, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 74, PSNR: 19.995419030778862, SSIM: 0.7711347703183635, LPIPS: 0.16969328934556982, UCIQE: 0.4135439991950989, UIQM: 3.74064564704895, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 75, PSNR: 19.934362293629164, SSIM: 0.7709836196363642, LPIPS: 0.17062653592798147, UCIQE: 0.42185288667678833, UIQM: 3.7409403324127197, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 76, PSNR: 19.52738325783376, SSIM: 0.7676312293899193, LPIPS: 0.17484033559815268, UCIQE: 0.4027925729751587, UIQM: 3.7184438705444336, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 77, PSNR: 19.951949933941446, SSIM: 0.7720629378650965, LPIPS: 0.167272773100419, UCIQE: 0.41648542881011963, UIQM: 3.7386395931243896, best PSNR: 20.12641112724047, best epoch: 72"
"epoch: 78, PSNR: 20.134554980845934, SSIM: 0.7756840492902177, LPIPS: 0.16990191702929774, UCIQE: 0.41133713722229004, UIQM: 3.7198548316955566, best PSNR: 20.134554980845934, best epoch: 78"
"epoch: 79, PSNR: 20.100299170847688, SSIM: 0.775966513692663, LPIPS: 0.16708221696735767, UCIQE: 0.42283716797828674, UIQM: 3.7474889755249023, best PSNR: 20.134554980845934, best epoch: 78"
